0.5625,0,0,1.0,0.3125,0.3125,1.3125,0.375,1.0625,1.0,1.25,0,1.25,1.125,0.5,0
0.5625,1.25,0.625,1.8125,0.375,0.875,0.5625,0.8125,1.3125,1.3125,0.9375,0.5,1.5,2.0625,1.375,0
1.4375,0.6875,1.5,1.5625,1.1875,2.0625,1.0625,1.0,2.125,2.875,1.25,0.3125,1.75,1.5,0.875,0.5
1.5,1.0625,1.75,1.8125,1.6875,1.4375,2.5625,1.625,2.1875,2.625,1.375,0.5,1.75,1.6875,1.625,0.375
0.6875,1.5625,0.75,1.5,1.1875,1.75,1.375,1.3125,3.3125,3.625,1.75,0,2.6875,1.125,0.6875,1.1875
1.6875,1.3125,0.6875,1.5625,0.875,1.3125,2.9375,1.125,3.0625,2.6875,2.1875,0,2.75,1.6875,1.6875,0.375
1.875,0.3125,0,1.8125,0.4375,1.4375,1.0625,0.9375,1.25,1.1875,2.5,0,1.5,1.1875,0.8125,0
1.0,0.3125,0.5625,2.5,0,1.6875,2.0,1.25,2.375,4.0625,2.6875,0,3.125,0.625,0.6875,0
0.5625,0,0,1.8125,0,1.0625,1.4375,0.4375,0.625,0.4375,0.4375,0,1.5625,0.625,0.875,0
0.75,0.375,0.375,1.25,0.3125,0.375,2.1875,0.5,1.4375,1.625,0.6875,0,2.0,1.0625,0.8125,0.25
1.25,1.25,0.9375,1.0625,0.625,1.25,0.5625,0.875,2.0625,2.0,1.4375,0.4375,1.875,1.3125,1.3125,0.875
1.3125,0.9375,2.1875,1.75,2.125,1.375,1.4375,1.5625,1.25,1.75,0.6875,0.9375,1.875,0.875,0.8125,0.6875
1.0625,0.4375,0.625,3.375,0.5625,1.4375,2.75,0.875,1.3125,1.5,1.4375,0.625,0.9375,1.5,1.625,0.75
1.0,0.25,0.375,1.5625,0.375,0.875,1.6875,0.4375,1.5,1.5625,0.9375,0,1.6875,1.5,1.75,0.125
1.3125,0.125,0,1.625,0.75,1.125,1.0625,0.9375,2.25,1.9375,0.875,0,1.4375,0.9375,1.3125,0
1.0,0.625,1.25,1.6875,1.25,1.5,1.1875,1.1875,1.125,2.5625,1.0625,0.75,1.5,1.1875,2.0,1.75
